round,group_id,sender,receiver,application-id,amount_send,asset_id_send,amount_received,asset_id_received
27132488,WECOzZ0hDRCM7/Sa4Hd3SP8WqW+OskNf8K4K5KD61Gw=,LD2YLYT2E2S4M3GJEOLDQ26RU7AIP6RELU3BRH35TNT2HQ3ZXWU6AHPU5A,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,841885763,31566704,2947083678,0
27132542,YIF0hm/w6wMVeKYsXk3wSLZNoitYhMEmCiAQkJsTWEU=,LD2YLYT2E2S4M3GJEOLDQ26RU7AIP6RELU3BRH35TNT2HQ3ZXWU6AHPU5A,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,3570000000,0,1013591428,31566704
27132594,UDtAW1VNHqEaLVqPtLo0gI44h/s3BedlU1VlPr1zw74=,LD2YLYT2E2S4M3GJEOLDQ26RU7AIP6RELU3BRH35TNT2HQ3ZXWU6AHPU5A,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1006050370,31566704,3522245401,0
27132646,kW4jYey/9kMKzw11gCASjFBQNS2lM05710a1S6lqifE=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,28612855,312769,100308781,0
27132652,YMyXNDuV6MROiixOWkh3GWCWIKxolAVVSTLgEuDkovI=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,143214500,31566704,500733511,0
27132657,m7WeTmHpHAiOFMuKOgbjjWo5E6yaqut9nPUBHJdMvpk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,28662930,312769,100308603,0
27132657,rJKTMdHYybYuex60BrIkYgmsMQe7OuIoUKfgv/VV1BE=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,143314650,31566704,500624831,0
27132657,hzkM+PdDEDalyN/iJ99/ZLinP7TwKzi8o/2VW5Ry474=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,143314650,31566704,500708865,0
27132657,bW6FevDB1lz1KMiuzq9a6o15ucpXTfymrCFMCT7k7pA=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,8001337,0,2277604,31566704
27132660,UtXA5BRQqmo1eX/YsSwJb0BVvdDvEdGoZylWRnrpMVE=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,68672199,0,19546716,31566704
27132762,digVDSZXqhsqZBMjRWofVEJTJ+h3e+TuhnddE/eyLkU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,143514950,31566704,500832967,0
27132762,iRqc4MhEashKrYjvKuZ3Qppkw1OMmSYxQPcV8HYJucE=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,143514950,31566704,500630127,0
27132792,l6VWV9SSFgSku7LJMOP8dbJEgJcpkUWLQI5U42C4Yrg=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,28713005,312769,100307966,0
27132828,YHMcTvUnGqKQte5v1tQ80iVgFvYyxUSE18lt2zyk4LI=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,194412706,0,56068924,31566704
27132828,4CJPXorqTuW7BoveYaE/2kEox50GtW3Wdx5eynV7bLE=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,7391088,0,2130664,31566704
27132828,UkLbZ63txXUJuC+g+qJEEBvRJVAGZ+mUo/aieyS1xIc=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,166628492,0,47994242,312769
27132828,m99kYU5sTe5k1dJjyH2iDGSpwrqAX9d6MXco4py2jEA=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,8658108,0,2495900,31566704
27132828,yCcUKdxOwfFKI+fMk8PI7YyIT9WTPnyaT9vrkqTyvoU=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,396223363,0,114224717,31566704
27132828,emEewg3Huxae1Lw0dzImQNbJ/L6jKt2LRFsActaP3cU=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,26080085,0,7516268,31566704
27132828,4U8FviP6Xsg8sk4vj0hvZkzp8Rqa1fgS2tk/npA6pP0=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,4484288,0,1292694,31566704
27132829,gBmvpzNi/MZvFKvcY3Bx7/eFIUdBDpLNijzT4prKhVo=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,61306374,0,17658390,31566704
27132829,yqYRsxZikBiqwwnWRgn0oJ7yQeldx5Op7c4UKt6VKcc=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,58359010,0,16808745,31566704
27132829,UdCFXsklMtkT3QlZLKIx8tvmdoBwaTIfxq+pD1r3sMU=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,56751283,0,16345027,31566704
