range,HUMBLESWAP_ALGOUSDC,pool_size_X,pool_size_Y,range,HUMBLESWAP_ALGOgoUSD,pool_size_X,pool_size_Y,range,PACT_ALGOUSDC,pool_size_X,pool_size_Y,range,PACT_ALGOUSDT,pool_size_X,pool_size_Y,range,TINYMAN_ALGOUSDC,pool_size_X,pool_size_Y,range,TINYMAN_ALGOUSDT,pool_size_X,pool_size_Y
26291897,0.2372493639292477,3149877148041,747306349828,26291897,0.23720076418602895,223981617451,53128610823,26291897,0.2367319032939304,1779520727939,421269328876,26291897,0.22993773977877519,19252903,4426969,26291897,0.23672917633807464,1526835434479,361446494808,26291897,0.24170524431256019,44232260518,10691169335
26291898,0.2372493639292477,3149877148041,747306349828,26291898,0.23720076418602895,223981617451,53128610823,26291898,0.2367319032939304,1779520727939,421269328876,26291898,0.22993773977877519,19252903,4426969,26291898,0.23672917633807464,1526835434479,361446494808,26291898,0.24170524431256019,44232260518,10691169335
26291899,0.2372493639292477,3149877148041,747306349828,26291899,0.23720076418602895,223981617451,53128610823,26291899,0.2367319032939304,1779520727939,421269328876,26291899,0.22993773977877519,19252903,4426969,26291899,0.23672917633807464,1526835434479,361446494808,26291899,0.24170524431256019,44232260518,10691169335
26291901,0.2372493639292477,3149877148041,747306349828,26291901,0.23720076418602895,223981617451,53128610823,26291901,0.2367319032939304,1779520727939,421269328876,26291901,0.22993773977877519,19252903,4426969,26291901,0.23672917633807464,1526835434479,361446494808,26291901,0.24170524431256019,44232260518,10691169335
26291902,0.2372493639292477,3149877148041,747306349828,26291902,0.23720076418602895,223981617451,53128610823,26291902,0.2367319032939304,1779520727939,421269328876,26291902,0.22993773977877519,19252903,4426969,26291902,0.23672917633807464,1526835434479,361446494808,26291902,0.24170524431256019,44232260518,10691169335
26291903,0.2372493639292477,3149877148041,747306349828,26291903,0.23720076418602895,223981617451,53128610823,26291903,0.2367319032939304,1779520727939,421269328876,26291903,0.22993773977877519,19252903,4426969,26291903,0.23672917633807464,1526835434479,361446494808,26291903,0.24170524431256019,44232260518,10691169335
26291904,0.2372493639292477,3149877148041,747306349828,26291904,0.23720076418602895,223981617451,53128610823,26291904,0.2367319032939304,1779520727939,421269328876,26291904,0.22993773977877519,19252903,4426969,26291904,0.23672917633807464,1526835434479,361446494808,26291904,0.24170524431256019,44232260518,10691169335
26291905,0.2372493639292477,3149877148041,747306349828,26291905,0.23720076418602895,223981617451,53128610823,26291905,0.2367319032939304,1779520727939,421269328876,26291905,0.22993773977877519,19252903,4426969,26291905,0.23672917633807464,1526835434479,361446494808,26291905,0.24170524431256019,44232260518,10691169335
26291906,0.2372493639292477,3149877148041,747306349828,26291906,0.23720076418602895,223981617451,53128610823,26291906,0.2367319032939304,1779520727939,421269328876,26291906,0.22993773977877519,19252903,4426969,26291906,0.23672917633807464,1526835434479,361446494808,26291906,0.24170524431256019,44232260518,10691169335
26291907,0.2372493639292477,3149877148041,747306349828,26291907,0.23720076418602895,223981617451,53128610823,26291907,0.2367319032939304,1779520727939,421269328876,26291907,0.22993773977877519,19252903,4426969,26291907,0.23672917633807464,1526835434479,361446494808,26291907,0.24170524431256019,44232260518,10691169335
26291908,0.2372493639292477,3149877148041,747306349828,26291908,0.23720076418602895,223981617451,53128610823,26291908,0.2367319032939304,1779520727939,421269328876,26291908,0.22993773977877519,19252903,4426969,26291908,0.23672917633807464,1526835434479,361446494808,26291908,0.24170524431256019,44232260518,10691169335
26291909,0.2372493639292477,3149877148041,747306349828,26291909,0.23720076418602895,223981617451,53128610823,26291909,0.2367319032939304,1779520727939,421269328876,26291909,0.22993773977877519,19252903,4426969,26291909,0.23672917633807464,1526835434479,361446494808,26291909,0.24170524431256019,44232260518,10691169335
26291910,0.2372493639292477,3149877148041,747306349828,26291910,0.23720076418602895,223981617451,53128610823,26291910,0.2367319032939304,1779520727939,421269328876,26291910,0.22993773977877519,19252903,4426969,26291910,0.23672917633807464,1526835434479,361446494808,26291910,0.24170524431256019,44232260518,10691169335
